Reference_type,access_date,alternate_title,assessment_id,author,date,edition,externalBibCode,internal_taxon_id,internal_taxon_name,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"",200183152,"Puky, M.","","",,22212,Triturus cristatus,"","","","",143-158,Sopron,Nyugat-Magyarországi Egyetem Erdõmérnöki Kar,S. Faragó,Gerinces állatfajok védelme (Conservation of vertebrate species),"","",Published,A kétéltûek védelme Magyarországon (Conservation of amphibians in Hungary),book section,"","",2000
Assessment,,,200183152,"Grossenbacher, K.",,,,22212,Triturus cristatus,,,,,33-34,Bern,"BUWAL (Bundesamt für Umwelt, Wald und Landschaft)",BUWAL,Rote Liste der gefährdeten Tierarten in der Schweiz,,,,Rote Liste der gefährdeten Amphibien der Schweiz,Book Section,,,1994
Assessment,,"",200183152,"Puky, M., Schád, P. and Szövényi, G","","",,22212,Triturus cristatus,"","","","",pp. 86,Budapest,Varangy Akciócsoport Egyesület,"","","","",Published,Preliminary herpetological atlas of Hungary,book,"","",2003
Assessment,,"",200183152,"Miaud, C.","","",,22212,Triturus cristatus,"","","","",535-537,"","","",Copeia,"","",Published,"Role of wrapping behavior on newt egg survival (Amphibia: Urodela) <i>Triturus alpestris, T. helveticus</i> and <i>T. cristatus</i>",journal article,"",1994,1994
Assessment,,"",200183152,"Watson, W.","","",,22212,Triturus cristatus,"","","","",2,"","","",FrogLog,"","",Published,Amphibians and <i>Crassula helmsii</i>,journal article,"",31,1999
Assessment,,"",200183152,"Grossenbacher, K.","","",,22212,Triturus cristatus,"","","","",1-207,"","","",Documenta Faunistica Helvetiae,"","",Published,Verbreitungsatlas der Amphibien der Schweiz,journal article,"",7,1988
Assessment,,"",200183152,"Arntzen, J.W. and Wallis, G.P.","","",,22212,Triturus cristatus,"","","","",181-203,"","","",Contributions to Zoology,"","",Published,Geographic variation and taxonomy of crested newts (<i>Triturus cristatus</i> superspecies): morphological and mitochondrial DNA data,journal article,"",68,1999
Assessment,,,200183152,"Franzen, M., Gruber, H.-J. and Heckes, U.",,,,22212,Triturus cristatus,,,,,21pp,München,ÖKOKART,,,,,,Untersuchungen zum Status des Kammmolchs im südöstlichen Bayern,Generic,,,2001
Assessment,,"",200183152,"Arntzen, J.W., Espregueira Themudo, G. and Wielstra, B.","","",,22212,Triturus cristatus,"","",4,"",261-278,"","","",Contributions to Zoology,"","",Published,"The phylogeny of crested newts (<i>Triturus cristatus</i> superspecies): nuclear and mitochondrial genetic characters suggest a hard polytomy, in line with the paleogeography of the centre of origin.",journal article,"",76,2007
Assessment,,"",200183152,"Jehle, R.","","",,22212,Triturus cristatus,"","",4,"",137-142,"","","",Herpetological Journal,"","",Published,The terrestrial summer habitat of radio-tracked Great Crested Newts (<i>Triturus cristatus</i>) and Marbled Newts (<i>T. marmoratus</i>),journal article,"",10,2000
Assessment,,"",200183152,"Griffiths, R","","",,22212,Triturus cristatus,"","",44,"","","","","",FrogLog,"","",Published,"The Crested Newt (<i>Triturus cristatus</i>): distribution, biology, ecology and protection: 11-12 November 2000, Rostock, Germany",journal article,"","",2001
Assessment,,"",200183152,"Miaud, C.","","",,22212,Triturus cristatus,"","","","",2-8,"","","",Amphibia-Reptilia,"","",Published,Oviposition site selection in three species of European newt (Salamandridae) genus <i>Triturus</i>,journal article,"",17,1995
Assessment,,"",200183152,"Miaud, C., Joly, P. and Castanet, J.","","",,22212,Triturus cristatus,"","","","",1874-1879,"","","",Canadian Journal of Zoology,"","",Published,Variation of age structures in a subdivided population of T<i>riturus cristatus</i>,journal article,"",71,1993
Assessment,,"",200183152,"Macgregor, H.C. and Horner, H.","","",,22212,Triturus cristatus,"","Triturus cristatus, mortality, genetics","","",111-122,"","","",Chromosoma,"","",Published,"Heteromorphism for Chromosome 1, a requirement for normal development in crested newts",journal article,"",76,1980
Assessment,,,200183152,"Fog, K., Schmedes, A. and Rosenørn de Lasson, D.",,,,22212,Triturus cristatus,,,,,,Copenhagen,G.E.C. Gads Forlag,,,,,,The amphibians and reptiles of the Nordic countries,Book,,,1997
Assessment,,"",200183152,"Botnariuc, N. and Tatole, V. (eds)","","",,22212,Triturus cristatus,"","","","","","",Museul National de Istorie Naturala “Grigore antipa”,"","","","",Published,Cartea Rosie a vertebratelor din România,book,"","",2005
